,article_id,authorId,name,url,Publicationcount,Rank
37,10.1145/511706.511708,2133682,Wayne D. Dominick,https://www.semanticscholar.org/author/2133682,77,1
38,10.1145/511706.511708,2421915,W. David Penniman,https://www.semanticscholar.org/author/2421915,57,2
39,10.1145/511706.511709,1714283,Vijay V. Raghavan,https://www.semanticscholar.org/author/1714283,317,1
40,10.1145/511706.511709,1689741,Kim Birchard,https://www.semanticscholar.org/author/1689741,2,2
41,10.1145/511706.511710,32432635,Robert T. Dattola,https://www.semanticscholar.org/author/32432635,6,1
42,10.1145/511706.511711,1688961,Lawrence J. Mazlack,https://www.semanticscholar.org/author/1688961,121,1
43,10.1145/511706.511712,2287254,Leslie L. Miller,https://www.semanticscholar.org/author/2287254,111,1
44,10.1145/511706.511713,144031213,S. H. Jamieson,https://www.semanticscholar.org/author/144031213,29,1
45,10.1145/511706.511714,1793374,R. K. Wiersba,https://www.semanticscholar.org/author/1793374,6,1
46,10.1145/511706.511715,21633223,Robert M. Landau,https://www.semanticscholar.org/author/21633223,9,1
47,10.1145/511706.511716,1722798,Christopher Landauer,https://www.semanticscholar.org/author/1722798,128,1
48,10.1145/511706.511716,40552237,Clinton Mah,https://www.semanticscholar.org/author/40552237,5,2
49,10.1145/511706.511717,144456145,W. Bruce Croft,https://www.semanticscholar.org/author/144456145,554,1
50,10.1145/511706.511718,47761544,Salah A. Khairy,https://www.semanticscholar.org/author/47761544,2,1
51,10.1145/511706.511718,153362126,George C. Miller,https://www.semanticscholar.org/author/153362126,12,2
52,10.1145/511706.511719,2245549,Emily G. Fayen,https://www.semanticscholar.org/author/2245549,16,1
53,10.1145/511706.511719,33865370,Susan B. Baird,https://www.semanticscholar.org/author/33865370,44,2
54,10.1145/511706.511720,1696082,Christine L. Borgman,https://www.semanticscholar.org/author/1696082,486,1
55,10.1145/800096.803132,2428274,Matthew B. Koll,https://www.semanticscholar.org/author/2428274,14,1
56,10.1145/800096.803133,2657806,Alan L. Tharp,https://www.semanticscholar.org/author/2657806,76,1
57,10.1145/800096.803134,1696653,Jacob Slonim,https://www.semanticscholar.org/author/1696653,103,1
58,10.1145/800096.803134,1753787,Fred J. Maryanski,https://www.semanticscholar.org/author/1753787,91,2
59,10.1145/800096.803134,2279758,Paul S. Fisher,https://www.semanticscholar.org/author/2279758,169,3
60,10.1145/800096.803135,145357501,Edward Hill,https://www.semanticscholar.org/author/145357501,28,1
61,10.1145/800096.803136,144456145,W. Bruce Croft,https://www.semanticscholar.org/author/144456145,554,1
62,10.1145/800096.803137,2064733,Chung-Shu Yan,https://www.semanticscholar.org/author/2064733,1,1
63,10.1145/800096.803138,2624399,Anthony Q. Baxter,https://www.semanticscholar.org/author/2624399,7,1
64,10.1145/800096.803138,153186068,Rowland R. Johnson,https://www.semanticscholar.org/author/153186068,18,2
65,10.1145/800096.803139,1711397,Caroline M. Eastman,https://www.semanticscholar.org/author/1711397,84,1
66,10.1145/800096.803139,2617934,Stephen F. Weiss,https://www.semanticscholar.org/author/2617934,35,2
67,10.1145/800096.803140,2642131,Clement T. Yu,https://www.semanticscholar.org/author/2642131,317,1
68,10.1145/800096.803140,1714283,Vijay V. Raghavan,https://www.semanticscholar.org/author/1714283,317,2
69,10.1145/800096.803141,37901694,Robert L. Williams,https://www.semanticscholar.org/author/37901694,194,1
70,10.1145/800096.803142,51976804,Sampsa Hautaniemi,https://www.semanticscholar.org/author/51976804,167,1
71,10.1145/800096.803146,2428274,Matthew B. Koll,https://www.semanticscholar.org/author/2428274,14,1
72,10.1145/253168.253171,1797808,Gerard Salton,https://www.semanticscholar.org/author/1797808,342,1
73,10.1145/253168.253175,2095083,Nicholas J. Belkin,https://www.semanticscholar.org/author/2095083,284,1
74,10.1145/253168.253175,2352328,Barbara H. Kwasnik,https://www.semanticscholar.org/author/2352328,61,2
75,10.1145/253168.253178,144282805,Simon J. Gibbs,https://www.semanticscholar.org/author/144282805,70,1
76,10.1145/253168.253178,145970924,Dennis Tsichritzis,https://www.semanticscholar.org/author/145970924,119,2
77,10.1145/253168.253180,1817548,S. Gallelli,https://www.semanticscholar.org/author/1817548,1,1
78,10.1145/253168.253180,145446191,C. Iacobelli,https://www.semanticscholar.org/author/145446191,2,2
79,10.1145/253168.253180,145389626,Paola Marchisio,https://www.semanticscholar.org/author/145389626,278,3
80,10.1145/253168.253183,2751433,Till W. Truckenmüller,https://www.semanticscholar.org/author/2751433,3,1
81,10.1145/253168.253183,3480823,M. Rathgeb,https://www.semanticscholar.org/author/3480823,11,2
82,10.1145/253168.253185,1964862,Tamas E. Doszkocs,https://www.semanticscholar.org/author/1964862,24,1
83,10.1145/253168.253186,1944096,Donald B. Crouch,https://www.semanticscholar.org/author/1944096,45,1
84,10.1145/253168.253188,2628324,Peter Ingwersen,https://www.semanticscholar.org/author/2628324,134,1
85,10.1145/253168.253188,2008259,Irene Wormell,https://www.semanticscholar.org/author/2008259,72,2
86,10.1145/253168.253189,1962040,Uwe Deppisch,https://www.semanticscholar.org/author/1962040,18,1
87,10.1145/253168.253190,2742115,Yaacov Choueka,https://www.semanticscholar.org/author/2742115,50,1
88,10.1145/253168.253190,1793371,Aviezri S. Fraenkel,https://www.semanticscholar.org/author/1793371,240,2
89,10.1145/253168.253190,1741705,Shmuel Tomi Klein,https://www.semanticscholar.org/author/1741705,161,3
90,10.1145/253168.253190,145789387,E. Segal,https://www.semanticscholar.org/author/145789387,3,4
91,10.1145/253168.253192,1767137,Jukka Teuhola,https://www.semanticscholar.org/author/1767137,51,1
92,10.1145/253168.253192,2055745,Timo Raita,https://www.semanticscholar.org/author/2055745,44,2
93,10.1145/253168.253193,1680223,Alan F. Smeaton,https://www.semanticscholar.org/author/1680223,596,1
94,10.1145/253168.253194,1693469,Patrick Bosc,https://www.semanticscholar.org/author/1693469,264,1
95,10.1145/253168.253194,1705631,Michèle Courant,https://www.semanticscholar.org/author/1705631,58,2
96,10.1145/253168.253194,143823603,Sophie Robin,https://www.semanticscholar.org/author/143823603,47,3
97,10.1145/253168.253196,1736012,Catherine Berrut,https://www.semanticscholar.org/author/1736012,70,1
98,10.1145/253168.253196,145029704,Patrick Palmer,https://www.semanticscholar.org/author/145029704,121,2
99,10.1145/253168.253197,143878089,Patrick Martin,https://www.semanticscholar.org/author/143878089,157,1
100,10.1145/253168.253197,143937960,Ian A. Macleod,https://www.semanticscholar.org/author/143937960,44,2
101,10.1145/253168.253197,39155842,Brent Nordin,https://www.semanticscholar.org/author/39155842,6,3
102,10.1145/253168.253198,1678811,Gregor Thurmair,https://www.semanticscholar.org/author/1678811,79,1
103,10.1145/253168.253199,144943988,M. Kathryn Di Benigno,https://www.semanticscholar.org/author/144943988,18,1
104,10.1145/253168.253199,1869519,George R. Cross,https://www.semanticscholar.org/author/1869519,24,2
105,10.1145/253168.253199,2085768,Cary deBessonet,https://www.semanticscholar.org/author/2085768,17,3
106,10.1145/253168.253200,1402929816,Abdelmoula El-Hamdouchi,https://www.semanticscholar.org/author/1402929816,7,1
107,10.1145/253168.253200,40482386,Peter Willett,https://www.semanticscholar.org/author/40482386,53,2
108,10.1145/253168.253202,1727747,Jitender S. Deogun,https://www.semanticscholar.org/author/1727747,319,1
109,10.1145/253168.253202,1714283,Vijay V. Raghavan,https://www.semanticscholar.org/author/1714283,317,2
110,10.1145/253168.253203,1746656,Ellen M. Voorhees,https://www.semanticscholar.org/author/1746656,200,1
111,10.1145/253168.253205,49558334,S. K. Michael Wong,https://www.semanticscholar.org/author/49558334,137,1
112,10.1145/253168.253205,1783402,Wojciech Ziarko,https://www.semanticscholar.org/author/1783402,121,2
113,10.1145/253168.253205,1714283,Vijay V. Raghavan,https://www.semanticscholar.org/author/1714283,317,3
114,10.1145/253168.253205,145697620,P. C. N. Wong,https://www.semanticscholar.org/author/145697620,15,4
115,10.1145/253168.253206,144169170,Donna K. Harman,https://www.semanticscholar.org/author/144169170,153,1
116,10.1145/253168.253208,1709413,C. J. van Rijsbergen,https://www.semanticscholar.org/author/1709413,213,1
117,10.1145/253168.253211,144456145,W. Bruce Croft,https://www.semanticscholar.org/author/144456145,554,1
118,10.1145/253168.253212,2941979,Yves Chiaramella,https://www.semanticscholar.org/author/2941979,43,1
119,10.1145/253168.253212,3009931,Bruno Defude,https://www.semanticscholar.org/author/3009931,93,2
120,10.1145/253168.253212,2159603,Marie-France Bruandet,https://www.semanticscholar.org/author/2159603,23,3
121,10.1145/253168.253212,3429247,Dalila Kerkouba,https://www.semanticscholar.org/author/3429247,5,4
122,10.1145/253168.253215,11955055,Dario De Jaco,https://www.semanticscholar.org/author/11955055,12,1
123,10.1145/253168.253215,3037799,Gianluca Garbolino,https://www.semanticscholar.org/author/3037799,1,2
124,10.1145/253168.253216,1732301,Gian Piero Zarri,https://www.semanticscholar.org/author/1732301,148,1
125,10.1145/253168.253217,49558334,S. K. Michael Wong,https://www.semanticscholar.org/author/49558334,137,1
126,10.1145/253168.253217,1783402,Wojciech Ziarko,https://www.semanticscholar.org/author/1783402,121,2
127,10.1145/253168.253218,2235792,Esen A. Ozkarahan,https://www.semanticscholar.org/author/2235792,61,1
128,10.1145/253168.253218,2083563,Fazli Can,https://www.semanticscholar.org/author/2083563,98,2
129,10.1145/253168.253220,2131200,Abraham Bookstein,https://www.semanticscholar.org/author/2131200,138,1
130,10.1145/253168.253221,1703148,Norbert Fuhr,https://www.semanticscholar.org/author/1703148,339,1
131,10.1145/253168.253222,1804272,Robert M. Losee,https://www.semanticscholar.org/author/1804272,82,1
132,10.1145/253168.253222,2131200,Abraham Bookstein,https://www.semanticscholar.org/author/2131200,138,2
133,10.1145/253168.253222,2642131,Clement T. Yu,https://www.semanticscholar.org/author/2642131,317,3
134,10.1145/253168.253224,2642131,Clement T. Yu,https://www.semanticscholar.org/author/2642131,317,1
135,10.1145/253168.253224,46963208,T. C. Lee,https://www.semanticscholar.org/author/46963208,10,2
136,10.1145/253168.253225,1705425,Paul B. Kantor,https://www.semanticscholar.org/author/1705425,222,1
137,10.1145/253168.253225,25628252,Jung Jin Lee,https://www.semanticscholar.org/author/25628252,60,2
138,10.1145/253168.253226,145219946,Kui-Lam Kwok,https://www.semanticscholar.org/author/145219946,78,1
139,10.1145/511754.511755,2162090,Jason Farradane,https://www.semanticscholar.org/author/2162090,25,1
140,10.1145/511754.511756,2131200,Abraham Bookstein,https://www.semanticscholar.org/author/2131200,138,1
141,10.1145/511754.511757,1399156916,Peter Bollmann-Sdorra,https://www.semanticscholar.org/author/1399156916,34,1
142,10.1145/511754.511757,2161203,Vladimir S. Cherniavsky,https://www.semanticscholar.org/author/2161203,5,2
143,10.1145/511754.511758,144430625,Stephen E. Robertson,https://www.semanticscholar.org/author/144430625,207,1
144,10.1145/511754.511759,144884959,Harry Wu,https://www.semanticscholar.org/author/144884959,49,1
145,10.1145/511754.511759,1797808,Gerard Salton,https://www.semanticscholar.org/author/1797808,342,2
146,10.1145/511754.511760,144456145,W. Bruce Croft,https://www.semanticscholar.org/author/144456145,554,1
147,10.1145/511754.511761,2642131,Clement T. Yu,https://www.semanticscholar.org/author/2642131,317,1
148,10.1145/511754.511761,145569384,K. Lam,https://www.semanticscholar.org/author/145569384,23,2
149,10.1145/511754.511762,1724914,Duncan A. Buell,https://www.semanticscholar.org/author/1724914,108,1
150,10.1145/511754.511762,1720134,Donald H. Kraft,https://www.semanticscholar.org/author/1720134,161,2
151,10.1145/511754.511763,2178747,Keith H. Stirling,https://www.semanticscholar.org/author/2178747,10,1
152,10.1145/511754.511764,1398489029,Jean Tague-Sutcliffe,https://www.semanticscholar.org/author/1398489029,38,1
153,10.1145/511754.511764,87648008,Michael J. Nelson,https://www.semanticscholar.org/author/87648008,24,2
154,10.1145/511754.511765,1722798,Christopher Landauer,https://www.semanticscholar.org/author/1722798,128,1
155,10.1145/511754.511766,1793371,Aviezri S. Fraenkel,https://www.semanticscholar.org/author/1793371,240,1
156,10.1145/511754.511767,1680223,Alan F. Smeaton,https://www.semanticscholar.org/author/1680223,596,1
157,10.1145/511754.511767,1709413,C. J. van Rijsbergen,https://www.semanticscholar.org/author/1709413,213,2
158,10.1145/511754.511768,1898195,William F. Storer,https://www.semanticscholar.org/author/1898195,3,1
159,10.1145/511754.511768,1711397,Caroline M. Eastman,https://www.semanticscholar.org/author/1711397,84,2
160,10.1145/511754.511769,1736726,Yahiko Kambayashi,https://www.semanticscholar.org/author/1736726,340,1
161,10.1145/511754.511769,49604687,Takaki Hayashi,https://www.semanticscholar.org/author/49604687,42,2
162,10.1145/511754.511769,1948846,Shuzo Yajima,https://www.semanticscholar.org/author/1948846,99,3
163,10.1145/511754.511770,49622523,Linda C. Smith,https://www.semanticscholar.org/author/49622523,187,1
164,10.1145/511754.511771,2716620,Michiyo Nikkuni,https://www.semanticscholar.org/author/2716620,3,1
165,10.1145/511754.511771,145883802,Hajime Tanaka,https://www.semanticscholar.org/author/145883802,36,2
166,10.1145/511754.511772,2385039,Terry Noreault,https://www.semanticscholar.org/author/2385039,17,1
167,10.1145/511754.511772,48657526,John F. Dovidio,https://www.semanticscholar.org/author/48657526,134,2
168,10.1145/511754.511773,145066246,John M. Carroll,https://www.semanticscholar.org/author/145066246,474,1
169,10.1145/511754.511774,1749895,Hans-Ludwig Hausen,https://www.semanticscholar.org/author/1749895,35,1
170,10.1145/511754.511775,1753089,Peretz Shoval,https://www.semanticscholar.org/author/1753089,134,1
171,10.1145/511793.511795,34889892,Lee A. Hollaar,https://www.semanticscholar.org/author/34889892,43,1
172,10.1145/511793.511796,1802807,Gerald DeJong,https://www.semanticscholar.org/author/1802807,122,1
173,10.1145/511793.511797,144456145,W. Bruce Croft,https://www.semanticscholar.org/author/144456145,554,1
174,10.1145/511793.511799,144296736,Michael Lebowitz,https://www.semanticscholar.org/author/144296736,76,1
175,10.1145/511793.511800,33142737,Helen M. Brooks,https://www.semanticscholar.org/author/33142737,19,1
176,10.1145/511793.511800,2095083,Nicholas J. Belkin,https://www.semanticscholar.org/author/2095083,284,2
177,10.1145/511793.511802,47202411,Andrew E. Wessel,https://www.semanticscholar.org/author/47202411,1,1
178,10.1145/511793.511803,1856088,Luis De Sopena,https://www.semanticscholar.org/author/1856088,17,1
179,10.1145/511793.511804,145505730,Madeleine Bates,https://www.semanticscholar.org/author/145505730,83,1
180,10.1145/511793.511804,2189985,Robert J. Bobrow,https://www.semanticscholar.org/author/2189985,59,2
181,10.1145/511793.511806,1714283,Vijay V. Raghavan,https://www.semanticscholar.org/author/1714283,317,1
182,10.1145/511793.511806,25592506,Hong-Pao Shi,https://www.semanticscholar.org/author/25592506,2,2
183,10.1145/511793.511806,2642131,Clement T. Yu,https://www.semanticscholar.org/author/2642131,317,3
184,10.1145/511793.511807,1709413,C. J. van Rijsbergen,https://www.semanticscholar.org/author/1709413,213,1
185,10.1145/511793.511809,1455835114,Padima Das-Gupta,https://www.semanticscholar.org/author/1455835114,1,1
186,10.1145/511793.511809,2923245,Jeffrey Katzer,https://www.semanticscholar.org/author/2923245,27,2
187,10.1145/511793.511810,2083563,Fazli Can,https://www.semanticscholar.org/author/2083563,98,1
188,10.1145/511793.511810,2235792,Esen A. Ozkarahan,https://www.semanticscholar.org/author/2235792,61,2
189,10.1145/511793.511811,2546188,Peter Bollmann-Sdorra,https://www.semanticscholar.org/author/2546188,3,1
190,10.1145/511793.511813,35269376,V. J. Geller,https://www.semanticscholar.org/author/35269376,4,1
191,10.1145/511793.511813,3142223,Michael E. Lesk,https://www.semanticscholar.org/author/3142223,199,2
192,10.1145/511793.511814,143726540,A. Steven Pollitt,https://www.semanticscholar.org/author/143726540,18,1
193,10.1145/511793.511816,47516762,John Tolle,https://www.semanticscholar.org/author/47516762,135,1
194,10.1145/511793.511817,3336357,Patricia Somers,https://www.semanticscholar.org/author/3336357,82,1
195,10.1145/511793.511818,1696082,Christine L. Borgman,https://www.semanticscholar.org/author/1696082,486,1
196,10.1145/511793.511820,144456145,W. Bruce Croft,https://www.semanticscholar.org/author/144456145,554,1
197,10.1145/511793.511820,152771382,R. Wolf,https://www.semanticscholar.org/author/152771382,9,2
198,10.1145/511793.511820,145709560,Roger Thompson,https://www.semanticscholar.org/author/145709560,64,3
199,10.1145/511793.511821,1732301,Gian Piero Zarri,https://www.semanticscholar.org/author/1732301,148,1
200,10.1145/511793.511823,1711397,Caroline M. Eastman,https://www.semanticscholar.org/author/1711397,84,1
201,10.1145/511793.511824,1793371,Aviezri S. Fraenkel,https://www.semanticscholar.org/author/1793371,240,1
202,10.1145/511793.511824,2365662,Moshe Mor,https://www.semanticscholar.org/author/2365662,13,2
203,10.1145/511793.511825,1866105,Emmanuel J. Yannakoudakis,https://www.semanticscholar.org/author/1866105,74,1
204,10.1145/511793.511827,38615275,José-Marie Griffiths,https://www.semanticscholar.org/author/38615275,62,1
205,10.1145/511793.511827,145564626,Donald W. King,https://www.semanticscholar.org/author/145564626,178,2
206,10.1145/511793.511828,1952749,Karen Kukich,https://www.semanticscholar.org/author/1952749,41,1
207,10.1145/511793.511830,1797808,Gerard Salton,https://www.semanticscholar.org/author/1797808,342,1
208,10.1145/511793.511831,1709413,C. J. van Rijsbergen,https://www.semanticscholar.org/author/1709413,213,1
209,10.1145/511793.511832,144864352,M. E. Maron,https://www.semanticscholar.org/author/144864352,39,1
210,10.1145/253495.253504,3142223,Michael E. Lesk,https://www.semanticscholar.org/author/3142223,199,1
211,10.1145/253495.253505,2131200,Abraham Bookstein,https://www.semanticscholar.org/author/2131200,138,1
212,10.1145/253495.253506,49558334,S. K. Michael Wong,https://www.semanticscholar.org/author/49558334,137,1
213,10.1145/253495.253506,1783402,Wojciech Ziarko,https://www.semanticscholar.org/author/1783402,121,2
214,10.1145/253495.253506,145697620,P. C. N. Wong,https://www.semanticscholar.org/author/145697620,15,3
215,10.1145/253495.253507,40008265,I. McLeod,https://www.semanticscholar.org/author/40008265,24,1
216,10.1145/253495.253508,3014360,Robert R. Korfhage,https://www.semanticscholar.org/author/3014360,121,1
217,10.1145/253495.253509,1705950,Edward A. Fox,https://www.semanticscholar.org/author/1705950,635,1
218,10.1145/253495.253510,1797808,Gerard Salton,https://www.semanticscholar.org/author/1797808,342,1
219,10.1145/253495.253510,1746656,Ellen M. Voorhees,https://www.semanticscholar.org/author/1746656,200,2
220,10.1145/253495.253511,3171793,Tadeusz Radecki,https://www.semanticscholar.org/author/3171793,98,1
221,10.1145/253495.253512,143717220,J. O. Stubbs,https://www.semanticscholar.org/author/143717220,44,1
222,10.1145/253495.253513,1709429,Emile C. Chi,https://www.semanticscholar.org/author/1709429,11,1
223,10.1145/253495.253513,145133587,Carol Friedman,https://www.semanticscholar.org/author/145133587,205,2
224,10.1145/253495.253513,3356532,Naomi Sager,https://www.semanticscholar.org/author/3356532,63,3
225,10.1145/253495.253513,48058105,Margaret S. Lyman,https://www.semanticscholar.org/author/48058105,13,4
226,10.1145/253495.253514,2702590,Barry G. T. Lowden,https://www.semanticscholar.org/author/2702590,31,1
227,10.1145/253495.253515,144009691,Chris Buckley,https://www.semanticscholar.org/author/144009691,154,1
228,10.1145/253495.253515,2439445,A. F. Lewit,https://www.semanticscholar.org/author/2439445,2,2
229,10.1145/253495.253516,1809080,David M. Arnow,https://www.semanticscholar.org/author/1809080,35,1
230,10.1145/253495.253516,50488862,Aaron M. Tenenbaum,https://www.semanticscholar.org/author/50488862,34,2
231,10.1145/253495.253516,145114955,Connie Wu,https://www.semanticscholar.org/author/145114955,4,3
232,10.1145/253495.342777,2742115,Yaacov Choueka,https://www.semanticscholar.org/author/2742115,50,1
233,10.1145/253495.342777,1741705,Shmuel Tomi Klein,https://www.semanticscholar.org/author/1741705,161,2
234,10.1145/253495.342777,1708427,Yehoshua Perl,https://www.semanticscholar.org/author/1708427,206,3
235,10.1145/253495.253518,2939624,Tetsuro Ito,https://www.semanticscholar.org/author/2939624,78,1
236,10.1145/253495.253518,2642131,Clement T. Yu,https://www.semanticscholar.org/author/2642131,317,2
237,10.1145/253495.253519,1696082,Christine L. Borgman,https://www.semanticscholar.org/author/1696082,486,1
238,10.1145/253495.253519,34859125,Donald Owen Case,https://www.semanticscholar.org/author/34859125,89,2
239,10.1145/253495.253519,2086339,Charles T. Meadow,https://www.semanticscholar.org/author/2086339,131,3
240,10.1145/253495.253520,3009931,Bruno Defude,https://www.semanticscholar.org/author/3009931,93,1
241,10.1145/253495.253521,1402863610,Raymond J. D'Amore,https://www.semanticscholar.org/author/1402863610,8,1
242,10.1145/253495.253521,1961735,Clinton P. Mah,https://www.semanticscholar.org/author/1961735,7,2
243,10.1145/253495.253522,145219946,Kui-Lam Kwok,https://www.semanticscholar.org/author/145219946,78,1
244,10.1145/253495.253523,143645111,M. Gordon,https://www.semanticscholar.org/author/143645111,24,1
245,10.1145/253495.253524,1746656,Ellen M. Voorhees,https://www.semanticscholar.org/author/1746656,200,1
246,10.1145/253495.253525,2642131,Clement T. Yu,https://www.semanticscholar.org/author/2642131,317,1
247,10.1145/253495.253526,2083563,Fazli Can,https://www.semanticscholar.org/author/2083563,98,1
248,10.1145/253495.253526,2235792,Esen A. Ozkarahan,https://www.semanticscholar.org/author/2235792,61,2
249,10.1145/253495.253527,1399156916,Peter Bollmann-Sdorra,https://www.semanticscholar.org/author/1399156916,34,1
250,10.1145/253495.253527,1779814,Friedbert Jochum,https://www.semanticscholar.org/author/1779814,8,2
251,10.1145/253495.253527,145132151,U. Reiner,https://www.semanticscholar.org/author/145132151,15,3
252,10.1145/253495.253527,1405771518,V. Weissmarm,https://www.semanticscholar.org/author/1405771518,1,4
253,10.1145/253495.253527,1782132,Horst Zuse,https://www.semanticscholar.org/author/1782132,64,5
254,10.1145/253495.253528,1779814,Friedbert Jochum,https://www.semanticscholar.org/author/1779814,8,1
255,10.1145/253495.253529,34889892,Lee A. Hollaar,https://www.semanticscholar.org/author/34889892,43,1
256,10.1145/253495.253530,3357643,Sau-Lan Lee,https://www.semanticscholar.org/author/3357643,3,1
257,10.1145/253495.253531,1724728,Richard M. Tong,https://www.semanticscholar.org/author/1724728,67,1
258,10.1145/253495.253531,2384917,Victor N. Askman,https://www.semanticscholar.org/author/2384917,4,2
259,10.1145/253495.253531,144927826,James F. Cunningham,https://www.semanticscholar.org/author/144927826,22,3
260,10.1145/253495.253531,1788293,Carl J. Tollander,https://www.semanticscholar.org/author/1788293,7,4
261,10.1145/253495.253532,88343530,R. E. Williamson,https://www.semanticscholar.org/author/88343530,73,1
262,10.1145/253495.253533,1696082,Christine L. Borgman,https://www.semanticscholar.org/author/1696082,486,1
263,10.1145/253495.253534,144377636,Michael A. Shepherd,https://www.semanticscholar.org/author/144377636,143,1
264,10.1145/253495.253534,144684766,A. Lo,https://www.semanticscholar.org/author/144684766,27,2
265,10.1145/253495.253534,1800495,William J. Phillips,https://www.semanticscholar.org/author/1800495,97,3
266,10.1145/253495.253535,2433686,Alberto J. Cañas,https://www.semanticscholar.org/author/2433686,96,1
267,10.1145/253495.253535,3185955,Frank R. Safayeni,https://www.semanticscholar.org/author/3185955,7,2
268,10.1145/253495.253535,2075147,David W. Conrath,https://www.semanticscholar.org/author/2075147,69,3
269,10.1145/42005.42006,49558334,S. K. Michael Wong,https://www.semanticscholar.org/author/49558334,137,1
270,10.1145/42005.42006,1698696,Yiyu Yao,https://www.semanticscholar.org/author/1698696,393,2
271,10.1145/42005.42007,1703148,Norbert Fuhr,https://www.semanticscholar.org/author/1703148,339,1
272,10.1145/42005.42007,145158324,Peter Müller,https://www.semanticscholar.org/author/145158324,87,2
273,10.1145/42005.42008,145219946,Kui-Lam Kwok,https://www.semanticscholar.org/author/145219946,78,1
274,10.1145/42005.42009,144456145,W. Bruce Croft,https://www.semanticscholar.org/author/144456145,554,1
275,10.1145/42005.42009,35153517,David D. Lewis,https://www.semanticscholar.org/author/35153517,101,2
276,10.1145/42005.42010,2159603,Marie-France Bruandet,https://www.semanticscholar.org/author/2159603,23,1
277,10.1145/42005.42011,2565513,F. N. Teskey,https://www.semanticscholar.org/author/2565513,15,1
