Title,background,method,result,"background,method","background,result","method,result","method,result,background",isInfluential,TotalCitationCount,Year
Query Performance Prediction for Pseudo-Feedback-Based Retrieval,0,0,0,0,0,0,0,4,2,2019
The Impact of Score Ties on Repeatability in Document Ranking,2,0,0,0,0,0,0,0,2,2019
Understanding the Interpretability of Search Result Summaries,2,0,0,0,0,0,0,0,2,2019
ENT Rank: Retrieving Entities for Topical Information Needs through Entity-Neighbor-Text Relations,0,1,0,0,0,0,0,0,1,2019
Ranking Documents by Answer-Passage Quality,5,5,0,0,0,0,0,0,25,2018
Modeling Diverse Relevance Patterns in Ad-hoc Retrieval,12,6,0,0,0,0,0,0,18,2018
Fusion in Information Retrieval: SIGIR 2018 Half-Day Tutorial,8,0,0,0,0,0,0,24,12,2018
Neural Query Performance Prediction using Weak Supervision from Multiple Signals,0,0,0,3,0,0,0,0,9,2018
A User Study on Snippet Generation: Text Reuse vs. Paraphrases,8,0,0,0,0,0,0,0,8,2018
Query Variation Performance Prediction for Systematic Reviews,0,4,0,4,0,0,0,64,8,2018
Response Ranking with Deep Matching Networks and External Knowledge in Information-seeking Conversation Systems,8,0,0,0,0,0,0,0,8,2018
Unsupervised Cross-Lingual Information Retrieval Using Monolingual Data Only,0,8,0,0,0,0,0,0,8,2018
Automatic Ground Truth Expansion for Timeline Evaluation,0,6,0,0,0,0,0,0,6,2018
Efficient Query Processing Infrastructures: A half-day tutorial at SIGIR 2018,2,0,0,0,0,0,0,0,6,2018
From Greedy Selection to Exploratory Decision-Making: Diverse Ranking with Policy-Value Networks,0,0,0,0,0,0,0,36,6,2018
Modeling Dynamic Pairwise Attention for Crime Classification over Legal Articles,6,0,0,0,0,0,0,0,6,2018
Review Sentiment-Guided Scalable Deep Recommender System,6,0,0,0,0,0,0,0,6,2018
Torch: A Search Engine for Trajectory Data,0,6,0,0,0,0,0,0,6,2018
Characterizing and Supporting Question Answering in Human-to-Human Communication,0,5,0,0,0,0,0,0,5,2018
Chat More: Deepening and Widening the Chatting Topic via A Deep Model,0,5,0,0,0,0,0,25,5,2018
Crowd vs. Expert: What Can Relevance Judgment Rationales Teach Us About Assessor Disagreement?,0,0,0,0,0,0,0,25,5,2018
Identify Shifts of Word Semantics through Bayesian Surprise,0,0,5,0,0,0,0,0,5,2018
Unbiased Learning to Rank with Unbiased Propensity Estimation,0,5,0,0,0,0,0,0,5,2018
API Caveat Explorer -- Surfacing Negative Usages from Practice: An API-oriented Interactive Exploratory Search System for Programmers,4,0,0,0,0,0,0,16,4,2018
Dynamic Shard Cutoff Prediction for Selective Search,0,0,0,0,0,0,0,0,4,2018
Learning a Deep Listwise Context Model for Ranking Refinement,0,0,0,0,0,0,0,0,4,2018
On Fine-Grained Relevance Scales,0,4,0,0,0,0,0,16,4,2018
Query Performance Prediction and Effectiveness Evaluation Without Relevance Judgments: Two Sides of the Same Coin,0,0,0,0,0,0,0,0,4,2018
Target Apps Selection: Towards a Unified Search Framework for Mobile Devices,0,4,0,0,0,0,0,0,4,2018
Testing the Cluster Hypothesis with Focused and Graded Relevance Judgments,0,0,0,0,0,0,0,16,4,2018
A Study of Per-Topic Variance on System Comparison,3,0,0,0,0,0,0,0,3,2018
An Information Retrieval Experiment Framework for Domain Specific Applications,0,3,0,0,0,0,0,0,3,2018
CHEERS: CHeap & Engineered Evaluation of Retrieval Systems,0,3,0,0,0,0,0,0,3,2018
Deep Learning for Matching in Search and Recommendation,0,3,0,0,0,0,0,0,3,2018
Effectiveness Evaluation with a Subset of Topics: A Practical Approach,3,0,0,0,0,0,0,0,3,2018
Procrastination is the Thief of Time: Evaluating the Effectiveness of Proactive Search Systems,0,0,0,0,0,0,0,0,3,2018
Sanity Check: A Strong Alignment and Information Retrieval Baseline for Question Answering,3,0,0,0,0,0,0,0,3,2018
Theoretical Analysis of Interdependent Constraints in Pseudo-Relevance Feedback,0,0,0,0,0,0,0,9,3,2018
WikiPassageQA: A Benchmark Collection for Research on Non-factoid Answer Passage Retrieval,0,3,0,0,0,0,0,0,3,2018
Beyond Pooling,2,0,0,0,0,0,0,0,2,2018
"Offline Comparative Evaluation with Incremental, Minimally-Invasive Online Feedback",0,2,0,0,0,0,0,0,2,2018
Parameterizing Kterm Hashing,0,2,0,0,0,0,0,0,2,2018
Stochastic Simulation of Test Collections: Evaluation Scores,0,0,0,0,0,2,0,0,2,2018
Generative Adversarial Nets for Information Retrieval: Fundamentals and Advances,0,1,0,0,0,0,0,0,1,2018
Improving Systematic Review Creation With Information Retrieval,0,1,0,0,0,0,0,0,1,2018
Utilizing Inter-Passage Similarities for Focused Retrieval,0,0,0,0,0,0,0,0,1,2018
On the Power Laws of Language: Word Frequency Distributions,12,0,0,0,0,0,0,0,18,2017
IRGAN: A Minimax Game for Unifying Generative and Discriminative Information Retrieval Models,8,8,0,0,0,0,0,0,16,2017
Leveraging Contextual Sentence Relations for Extractive Summarization Using a Neural Attention Model,0,0,0,0,0,0,0,0,12,2017
Word Embedding Causes Topic Shifting; Exploit Global Context!,0,8,0,0,0,0,0,0,12,2017
Learning a Hierarchical Embedding Model for Personalized Product Search,0,5,0,0,0,0,0,0,10,2017
Automatically Extracting High-Quality Negative Examples for Answer Selection in Question Answering,8,0,0,0,0,0,0,0,8,2017
Information Retrieval Meets Game Theory: The Ranking Competition Between Documents? Authors,0,4,0,0,0,0,0,0,8,2017
Relevance-based Word Embedding,2,4,0,0,0,0,0,0,8,2017
DBpedia-Entity v2: A Test Collection for Entity Search,0,7,0,0,0,0,0,0,7,2017
ReAct: Online Multimodal Embedding for Recency-Aware Spatiotemporal Activity Modeling,0,0,0,0,0,0,0,0,7,2017
"A Study of Snippet Length and Informativeness: Behaviour, Performance and User Experience",3,0,0,0,0,0,0,18,6,2017
Adapting Markov Decision Process for Search Result Diversification,0,6,0,0,0,0,0,36,6,2017
Distribution-oriented Aesthetics Assessment for Image Search,0,6,0,0,0,0,0,0,6,2017
Document Expansion Using External Collections,0,2,0,0,0,0,0,12,6,2017
Learning to Diversify Search Results via Subtopic Attention,6,0,0,0,0,0,0,36,6,2017
"On the Reusability of ""Living Labs"" Test Collections:: A Case Study of Real-Time Summarization",0,0,0,0,0,0,0,0,6,2017
Online In-Situ Interleaved Evaluation of Real-Time Push Notification Systems,0,0,0,0,0,0,0,0,6,2017
Teaching the Information Retrieval Process Using a Web-Based Environment and Game Mechanics,0,0,0,0,0,0,0,0,6,2017
Visual Pool: A Tool to Visualize and Interact with the Pooling Method,0,0,0,0,0,0,0,0,6,2017
End-to-End Neural Ad-hoc Ranking with Kernel Pooling,0,5,0,0,0,0,0,0,5,2017
Exploring User-Specific Information in Music Retrieval,0,0,0,0,0,0,0,0,5,2017
Faster BlockMax WAND with Variable-sized Blocks,5,0,0,0,0,0,0,0,5,2017
Jointly Learning Word Embeddings and Latent Topics,0,5,0,0,0,0,0,0,5,2017
Mailbox-Based vs. Log-Based Query Completion for Mail Search,5,0,0,0,0,0,0,0,5,2017
Embedding-based Query Expansion for Weighted Sequential Dependence Retrieval Model,0,2,0,0,0,0,0,8,4,2017
Emotional Social Signals for Search Ranking,4,0,0,0,0,0,0,0,4,2017
Gauging the Quality of Relevance Assessments using Inter-Rater Agreement,0,0,0,0,0,0,0,16,4,2017
Learning to Rank Question Answer Pairs with Holographic Dual LSTM Architecture,4,0,0,0,0,0,0,0,4,2017
Nordlys: A Toolkit for Entity-Oriented and Semantic Search,0,4,0,0,0,0,0,0,4,2017
Personalized Query Suggestion Diversification,0,0,0,0,0,0,0,0,4,2017
Retrieval Consistency in the Presence of Query Variations,4,0,0,0,0,0,0,0,4,2017
Statistical Significance Testing in Information Retrieval: Theory and Practice,0,0,0,0,0,0,0,0,4,2017
Accounting for the Correspondence in Commented Data,0,0,0,0,0,0,0,0,3,2017
An Extended Relevance Model for Session Search,0,0,0,0,0,0,0,9,3,2017
Anserini: Enabling the Use of Lucene for Information Retrieval Research,0,3,0,0,0,0,0,0,3,2017
Can Deep Effectiveness Metrics Be Evaluated Using Shallow Judgment Pools?,0,0,0,0,0,0,0,0,3,2017
Combining Top-N Recommenders with Metasearch Algorithms,0,0,0,0,0,0,0,9,3,2017
Comparing In Situ and Multidimensional Relevance Judgments,0,0,0,0,0,0,0,0,3,2017
Efficient & Effective Selective Query Rewriting with Efficiency Predictions,3,0,0,0,0,0,0,0,3,2017
Support for Interactive Identification of Mentioned Entities in Conversational Speech,3,0,0,0,0,0,0,0,3,2017
The Utility and Privacy Effects of a Click,0,3,0,0,0,0,0,0,3,2017
"But Is It Statistically Significant?: Statistical Significance in IR Research, 1995-2014",1,0,0,0,0,0,0,0,2,2017
Improving Exploratory Search Experience through Hierarchical Knowledge Graphs,2,0,0,0,0,0,0,0,2,2017
An Enhanced Approach to Query Performance Prediction Using Reference Lists,0,0,0,0,0,0,0,1,1,2017
Probabilistic Topic Models for Text Data Retrieval and Analysis,1,0,0,0,0,0,0,0,1,2017
"Relevance Judgments: Preferences, Scores and Ties",0,1,0,0,0,0,0,0,1,2017
Scalable Semantic Matching of Queries to Ads in Sponsored Search Advertising,0,18,0,0,0,0,0,0,36,2016
New Collection Announcement: Focused Retrieval Over the Web,0,8,0,0,0,0,0,0,16,2016
That's Not My Question: Learning to Weight Unmatched Terms in CQA Vertical Search,4,4,0,0,0,0,0,64,16,2016
Document Retrieval Using Entity-Based Language Models,0,9,0,0,0,0,3,45,15,2016
Health Monitoring on Social Media over Time,0,12,0,0,0,0,0,0,12,2016
Bayesian Performance Comparison of Text Classifiers,0,5,0,0,0,0,0,50,10,2016
Retrieving Non-Redundant Questions to Summarize a Product Review,5,5,0,0,0,0,0,50,10,2016
Risk-Sensitive Evaluation and Learning to Rank using Multiple Baselines,6,3,0,0,0,0,0,0,9,2016
When does Relevance Mean Usefulness and User Satisfaction in Web Search?,0,0,0,0,0,0,0,0,9,2016
Event Digest: A Holistic View on Past Events,4,2,0,0,0,0,0,16,8,2016
Exploiting Semantic Coherence Features for Information Retrieval,0,4,0,0,0,0,0,0,8,2016
Explainable User Clustering in Short Text Streams,6,0,0,0,0,0,0,0,6,2016
Fast First-Phase Candidate Generation for Cascading Rankers,6,0,0,0,0,0,0,0,6,2016
Utilizing Focused Relevance Feedback,3,0,3,0,0,0,0,0,6,2016
A Simple Enhancement for Ad-hoc Information Retrieval via Topic Modelling,5,0,0,0,0,0,0,0,5,2016
Evaluating Retrieval over Sessions: The TREC Session Track 2011-2014,0,5,0,0,0,0,0,0,5,2016
Modeling Document Novelty with Neural Tensor Network for Search Result Diversification,0,5,0,0,0,0,0,25,5,2016
Topic Modeling for Short Texts with Auxiliary Word Embeddings,0,5,0,0,0,0,0,0,5,2016
Contextual Bandits in a Collaborative Environment,4,0,0,0,0,0,0,0,4,2016
Improving Language Estimation with the Paragraph Vector Model for Ad-hoc Retrieval,0,4,0,0,0,0,0,0,4,2016
Improving Retrieval Quality Using Pseudo Relevance Feedback in Content-Based Image Retrieval,4,0,0,0,0,0,0,0,4,2016
Instant Search: A Hands-on Tutorial,4,0,0,0,0,0,0,0,4,2016
Learning for Efficient Supervised Query Expansion via Two-stage Feature Selection,0,4,0,0,0,0,0,0,4,2016
Load-Balancing in Distributed Selective Search,0,4,0,0,0,0,0,0,4,2016
Simple Dynamic Emission Strategies for Microblog Filtering,0,4,0,0,0,0,0,0,4,2016
UQV100: A Test Collection with Query Variability,4,0,0,0,0,0,0,0,4,2016
Axiomatic Analysis for Improving the Log-Logistic Feedback Model,0,0,3,0,0,0,0,9,3,2016
Ranking Documents Through Stochastic Sampling on Bayesian Network-based Models: A Pilot Study,3,0,0,0,0,0,0,0,3,2016
The BOLT IR Test Collections of Multilingual Passage Retrieval from Discussion Forums,3,0,0,0,0,0,0,0,3,2016
Understanding Information Need: An fMRI Study,3,0,0,0,0,0,0,0,3,2016
A General Linear Mixed Models Approach to Study System Component Effects,0,0,0,0,0,0,0,0,2,2016
A Sequential Decision Formulation of the Interface Card Model for Interactive IR,2,0,0,0,0,0,0,0,2,2016
Engineering Quality and Reliability in Technology-Assisted Review,0,0,0,0,2,0,0,0,2,2016
Impact of Review-Set Selection on Human Assessment for Text Classification,0,2,0,0,0,0,0,0,2,2016
Ingrams: A Neuropsychological Explanation For Why People Search,2,0,0,0,0,0,0,0,2,2016
"Question Answering with Knowledge Base, Web and Beyond",0,0,0,0,0,0,0,4,2,2016
Toward Estimating the Rank Correlation between the Test Collection Results and the True System Performance,2,0,0,0,0,0,0,0,2,2016
User Behavior in Asynchronous Slow Search,0,0,0,0,0,0,0,0,2,2016
Enhancing Information Retrieval with Adapted Word Embedding,1,0,0,0,0,0,0,0,1,2016
Searching by Talking: Analysis of Voice Queries on Mobile Web Search,0,1,0,0,0,0,0,0,1,2016
Simulation of Interaction: A Tutorial on Modelling and Simulating User Interaction and Search Behaviour,0,1,0,0,0,0,0,0,1,2016
Time-Quality Trade-offs in Search,1,0,0,0,0,0,0,0,1,2016
Non-Compositional Term Dependence for Information Retrieval,20,0,0,0,0,0,0,0,28,2015
Temporal Information Retrieval,8,5,0,0,0,0,0,0,21,2015
Retrieval of Relevant Opinion Sentences for New Products,8,0,0,0,0,0,0,0,16,2015
An Entity Class-Dependent Discriminative Mixture Model for Cumulative Citation Recommendation,7,7,0,0,0,0,0,0,14,2015
Assessor Differences and User Preferences in Tweet Timeline Generation,8,0,0,0,0,0,0,48,12,2015
Learning Maximal Marginal Relevance Model via Directly Optimizing Diversity Evaluation Measures,0,5,0,0,0,0,0,50,10,2015
On the Reusability of Open Test Collections,5,0,0,0,0,0,0,0,10,2015
IR Evaluation: Modeling User Behavior for Measuring Effectiveness,0,0,0,0,0,0,0,0,9,2015
Predicting Search Satisfaction Metrics with Interleaved Comparisons,3,0,0,0,0,0,0,0,9,2015
Splitting Water: Precision and Anti-Precision to Reduce Pool Bias,3,3,0,0,0,0,0,27,9,2015
Learning Hierarchical Representation Model for NextBasket Recommendation,6,0,0,0,0,0,0,0,6,2015
Learning to Extract Local Events from the Web,3,3,0,0,0,0,0,18,6,2015
Listwise Collaborative Filtering,0,6,0,0,0,0,0,0,6,2015
Scientific Information Understanding via Open Educational Resources (OER),0,6,0,0,0,0,0,0,6,2015
Personalized Recommendation via Parameter-Free Contextual Bandits,5,0,0,0,0,0,0,0,5,2015
A Priori Relevance Based On Quality and Diversity Of Social Signals,4,0,0,0,0,0,0,0,4,2015
A Random Walk Model for Optimization of Search Impact in Web Frontier Ranking,4,0,0,0,0,0,0,0,4,2015
Features of Disagreement Between Retrieval Effectiveness Measures,0,4,0,0,0,0,0,0,4,2015
Image-Based Recommendations on Styles and Substitutes,4,0,0,0,0,0,0,0,4,2015
In Situ Insights,2,2,0,0,0,0,0,0,4,2015
Learning to Reweight Terms with Distributed Representations,4,0,0,0,0,0,0,0,4,2015
Leveraging User Reviews to Improve Accuracy for Mobile App Retrieval,4,0,0,0,0,0,0,0,4,2015
Optimal Aggregation Policy for Reducing Tail Latency of Web Search,4,0,0,0,0,0,0,0,4,2015
Parametric and Non-parametric User-aware Sentiment Topic Models,0,0,0,0,0,0,0,0,4,2015
Personalizing Search on Shared Devices,2,0,0,0,0,0,0,0,4,2015
Representative & Informative Query Selection for Learning to Rank using Submodular Functions,4,0,0,0,0,0,0,8,4,2015
The Benefits of Magnitude Estimation Relevance Assessments for Information Retrieval Evaluation,0,0,0,0,0,0,0,0,4,2015
User Variability and IR System Evaluation,4,0,0,0,0,0,0,0,4,2015
A Probabilistic Model for Information Retrieval Based on Maximum Value Distribution,1,2,0,0,0,0,0,0,3,2015
Evaluating Retrieval Models through Histogram Analysis,3,0,0,0,0,0,0,0,3,2015
Evaluating Streams of Evolving News Events,0,0,0,0,0,0,0,9,3,2015
Modeling Website Topic Cohesion at Scale to Improve Webpage Classification,0,3,0,0,0,0,0,0,3,2015
Modelling Term Dependence with Copulas,3,0,0,0,0,0,0,0,3,2015
Using Contextual Information to Understand Searching and Browsing Behavior,3,0,0,0,0,0,0,0,3,2015
Using Sensor Metadata Streams to Identify Topics of Local Events in the City,3,0,0,0,0,0,0,0,3,2015
A Head-Weighted Gap-Sensitive Correlation Coefficient,2,0,0,0,0,0,0,0,2,2015
An Aspect-driven Social Media Explorer,2,0,0,0,0,0,0,0,2,2015
Burst Detection in Social Media Streams for Tracking Interest Profiles in Real Time,2,0,0,0,0,0,0,0,2,2015
Combining Orthogonal Information in Large-Scale Cross-Language Information Retrieval,0,2,0,0,0,0,0,0,2,2015
"How many results per page?: A Study of SERP Size, Search Behavior and User Experience",2,0,0,0,0,0,0,4,2,2015
IR Evaluation: Designing an End-to-End Offline Evaluation Pipeline,0,2,0,0,0,0,0,0,2,2015
Information Retrieval as Card Playing: A Formal Model for Optimizing Interactive Retrieval Interface,0,0,0,0,0,0,0,0,2,2015
Monolingual and Cross-Lingual Information Retrieval Models Based on (Bilingual) Word Embeddings,0,0,0,0,0,0,0,0,2,2015
Multi-Faceted Recall of Continuous Active Learning for Technology-Assisted Review,2,0,0,0,0,0,0,0,2,2015
StarSum: A Simple Star Graph for Multi-document Summarization,0,1,0,0,0,0,0,0,2,2015
Using Key Concepts in a Translation Model for Retrieval,2,0,0,0,0,0,0,0,2,2015
Incremental Sampling of Query Logs,1,0,0,0,0,0,0,0,1,2015
Utilizing relevance feedback in fusion-based retrieval,0,3,0,0,0,0,0,54,18,2014
Extending test collection pools without manual runs,8,4,0,0,0,0,0,64,16,2014
Hypothesis testing for the risk-sensitive evaluation of retrieval systems,9,6,0,0,0,0,0,45,15,2014
Wikipedia-based query performance prediction,5,5,0,0,0,5,0,75,15,2014
Fusion helps diversification,6,6,0,0,0,0,0,0,12,2014
An annotation similarity model in passage ranking for historical fact validation,6,0,0,0,0,0,0,0,10,2014
Cross-language context-aware citation recommendation in scientific articles,9,0,0,0,0,0,0,0,9,2014
Injecting user models and time into precision via Markov chains,6,0,0,0,0,0,0,0,9,2014
Learning sufficient queries for entity filtering,3,3,0,0,0,0,0,0,9,2014
The effect of expanding relevance judgements with duplicates,3,0,6,0,0,0,0,0,9,2014
Comparing client and server dwell time estimates for click-level satisfaction prediction,0,0,0,4,0,0,0,32,8,2014
ReQ-ReC: high recall retrieval with query pooling and interactive classification,4,4,0,0,0,0,0,0,8,2014
Temporal feedback for tweet search with non-parametric density estimation,0,8,0,0,0,0,0,32,8,2014
Predictive parallelization: taming tail latencies in web search,7,0,0,0,0,0,0,0,7,2014
A burstiness-aware approach for document dating,0,6,0,0,0,0,0,0,6,2014
Assessing the reliability and reusability of an E-discovery privilege test collection,3,3,0,0,0,0,0,18,6,2014
Cohort modeling for enhanced personalized search,3,0,0,0,0,0,0,0,6,2014
Cross-domain and cross-category emotion tagging for comments of online news,6,0,0,0,0,0,0,0,6,2014
Entity query feature expansion using knowledge base links,0,3,0,0,0,0,0,0,6,2014
Processing spatial keyword query as a top-k aggregation query,0,3,0,0,0,0,0,0,6,2014
Query-performance prediction: setting the expectations straight,0,2,0,2,0,0,0,12,6,2014
Learning for search result diversification,0,5,0,0,0,0,0,0,5,2014
Predicting the popularity of web 2.0 items based on user comments,5,0,0,0,0,0,0,0,5,2014
Query expansion for mixed-script information retrieval,0,0,0,0,0,0,0,0,5,2014
Uncovering the unarchived web,0,0,0,0,0,0,0,0,5,2014
What makes data robust: a data analysis in learning to rank,0,0,0,0,0,0,0,0,5,2014
A simple term frequency transformation model for effective pseudo relevance feedback,2,0,0,0,0,0,0,8,4,2014
Addressing cold start in recommender systems: a semi-supervised co-training algorithm,0,0,0,0,0,0,0,0,4,2014
Estimating global statistics for unstructured P2P search in the presence of adversarial peers,2,2,0,0,0,0,0,0,4,2014
Multidimensional relevance modeling via psychometrics and crowdsourcing,4,0,0,0,0,0,0,0,4,2014
Necessary and frequent terms in queries,4,0,0,0,0,0,0,16,4,2014
New and improved: modeling versions to improve app recommendation,0,4,0,0,0,0,0,0,4,2014
Recommending social media content to community owners,4,0,0,0,0,0,0,0,4,2014
SearchPanel: framing complex search needs,0,0,4,0,0,0,0,0,4,2014
The search duel: a response to a strong ranker,0,0,0,0,0,0,0,0,4,2014
Using score differences for search result diversification,0,0,0,0,0,0,0,0,4,2014
A fusion approach to cluster labeling,0,3,0,0,0,0,0,0,3,2014
Characterizing multi-click search behavior and the risks and opportunities of changing results during use,3,0,0,0,0,0,0,0,3,2014
Document summarization based on word associations,0,0,0,0,0,0,0,0,3,2014
Learning temporal-dependent ranking models,3,0,0,0,0,0,0,0,3,2014
On run diversity in Evaluation as a Service,3,0,0,0,0,0,0,0,3,2014
Query log driven web search results clustering,0,0,0,0,0,0,0,9,3,2014
Query performance prediction for entity retrieval,0,0,0,0,0,0,0,0,3,2014
User-driven system-mediated collaborative information retrieval,3,0,0,0,0,0,0,0,3,2014
Compositional data analysis (CoDA) approaches to distance in information retrieval,0,2,0,0,0,0,0,0,2,2014
Diversifying query suggestions based on query documents,2,0,0,0,0,0,0,0,2,2014
Evaluating mobile web search performance by taking good abandonment into account,0,2,0,0,0,0,0,4,2,2014
Evaluating the effort involved in relevance assessments for images,2,0,0,0,0,0,0,0,2,2014
Evaluation of machine-learning protocols for technology-assisted review in electronic discovery,2,0,0,0,0,0,0,0,2,2014
Exploiting Twitter and Wikipedia for the annotation of event images,0,0,0,0,0,0,0,0,2,2014
Modeling the dynamics of personal expertise,0,2,0,0,0,0,0,0,2,2014
Modelling interaction with economic models of search,2,0,0,0,0,0,0,2,2,2014
Predicting query performance in microblog retrieval,0,0,0,0,0,0,0,0,2,2014
Search result diversification via data fusion,2,0,0,0,0,0,0,0,2,2014
The correlation between cluster hypothesis tests and the effectiveness of cluster-based retrieval,0,2,0,0,0,0,0,0,2,2014
Cluster links prediction for literature based discovery using latent structure and semantic features,1,0,0,0,0,0,0,0,1,2014
Modeling click-through based word-pairs for web search,10,0,0,0,0,0,0,224,28,2013
The impact of solid state drive on search engine cache management,0,0,0,0,0,0,0,0,18,2013
Mining touch interaction data on mobile devices to predict web search result relevance,5,0,5,0,0,0,0,75,15,2013
SIGIR 2013 workshop on time aware information access (#TAIA2013),0,6,0,0,0,0,0,0,12,2013
Self reinforcement for important passage retrieval,6,6,0,0,0,0,0,0,12,2013
Term level search result diversification,0,4,0,0,0,0,0,0,10,2013
Copulas for information retrieval,6,3,0,0,0,0,0,27,9,2013
Estimating query representativeness for query-performance prediction,0,9,0,0,0,0,0,27,9,2013
Improving search result summaries by using searcher behavior data,0,0,0,0,0,0,0,0,9,2013
Is uncertain logical-matching equivalent to conditional probability?,3,0,0,0,0,0,0,27,9,2013
Query expansion using path-constrained random walks,0,6,0,3,0,0,0,27,9,2013
An incremental approach to efficient pseudo-relevance feedback,0,2,0,0,0,0,0,32,8,2013
Emerging topic detection for organizations from microblogs,8,0,0,0,0,0,0,0,8,2013
Flat vs. hierarchical phrase-based translation models for cross-language information retrieval,2,6,0,0,0,0,0,0,8,2013
Pseudo test collections for training and tuning microblog rankers,0,0,0,0,0,0,0,0,8,2013
Sumblr: continuous summarization of evolving tweet streams,0,4,0,0,0,0,0,0,8,2013
A candidate filtering mechanism for fast top-k query processing on modern cpus,0,3,0,0,0,0,0,0,6,2013
A low rank structural large margin method for cross-modal ranking,0,6,0,0,0,0,0,0,6,2013
A weakly-supervised detection of entity central documents in a stream,0,3,0,0,0,0,0,0,6,2013
An information-theoretic account of static index pruning,2,2,0,0,0,0,0,12,6,2013
Competence-based song recommendation,0,6,0,0,0,0,0,0,6,2013
On the measurement of test collection reliability,6,0,0,0,0,0,0,36,6,2013
Personalized ranking model adaptation for web search,6,0,0,0,0,0,0,0,6,2013
Ranking document clusters using markov random fields,2,2,0,0,0,0,0,12,6,2013
Ranking explanatory sentences for opinion summarization,0,6,0,0,0,0,0,0,6,2013
Taily: shard selection using the tail of score distributions,3,0,0,0,0,0,0,36,6,2013
The effect of threshold priming and need for cognition on relevance calibration and assessment,0,0,0,0,0,0,0,25,5,2013
Time-aware point-of-interest recommendation,0,0,0,0,0,0,0,0,5,2013
Timeline generation with social attention,0,0,0,0,0,0,0,0,5,2013
Addressing cold-start in app recommendation: latent user models constructed from twitter followers,0,4,0,0,0,0,0,0,4,2013
Building Test Collections: An Interactive Guide for Students and Others Without Their Own Evaluation Conference Series,0,0,0,0,0,0,0,0,4,2013
Exploiting user feedback to learn to rank answers in q&a forums: a case study with stack overflow,4,0,0,0,0,0,0,0,4,2013
Extracting query facets from search results,0,2,0,0,0,0,0,0,4,2013
Fast document-at-a-time query processing using two-tier indexes,0,0,0,0,0,0,0,0,4,2013
Faster and smaller inverted indices with treaps,0,0,0,0,0,0,0,0,4,2013
Is relevance hard work?: evaluating the effort of making relevant assessments,4,0,0,0,0,0,0,8,4,2013
Leveraging conceptual lexicon: query disambiguation using proximity information for patent retrieval,0,4,0,0,0,0,0,16,4,2013
Sequential testing in classifier evaluation yields biased estimates of effectiveness,4,0,0,0,0,0,0,0,4,2013
Temporal variance of intents in multi-faceted event-driven information needs,4,0,0,0,0,0,0,0,4,2013
A comparison of the optimality of statistical significance tests for information retrieval evaluation,0,3,0,0,0,0,0,0,3,2013
